,,,,,,,,,,,,,,,,,,,For menu matching only: ,
,Internal SKU,Link,Brand,Retail,Colors we offer,Wear It,Our Item Name,Our description,In Recovery,Suggested Outfit Pairings (wear it with) ,Fit (need to determine this through fit models) ,what does it show off,Supply Chain,Microplastic Alert/Meter,,Materials,Other Details,Care,Recovery Step,Match Set
Womens,,,,,,,,,,,,,,,,,,,,
cropped puffer,400543,https://www.aloyoga.com/products/w4380r-gold-rush-puffer-espresso,Alo,$198,"blue, navy, black","We suggest a warm underlayer for the core. The best part is this jacket looks amazing with shorts, leggings or even sweatpants. ",Cropped Puffer,"Nothing says off duty more than a sleek cropped puffer! No chance you're working out in this gem, but it sure will keep you warm. ","Since there is no way you are workign out in this, your brain knows you're off duty and looking good. Keep warm when your body does it post-workout chill down. ","400537, 400533","Loose, cropped",Core,,,,,,,,
tank,400532,https://beyondyoga.com/products/featherweight-your-fit-shirred-tank-cloud-white-lwsd4697,Beyond Yoga,$38,"pink, white, navy",Layering or solo,Fitted Tank,"Wear it as a layer in the winter or show off the uppers in the summer. Buttery soft, lightweight, strechy non-lycra fabric feels so well deserved. Best seller. By Beyond Yoga. ",Science has shown that putting on clothing that signals off-duty increases endorphins and sets in a state of relaxation. Telling the brain's fight or flight response to shut down allows the body to enter repair mode sooner. Consider wearing this tank to be the on switch for recovery.  ,"400533, 400536",Fitted core; slightly halter-style shoulders. ,"Shoulders, core, arms. ",,medium,,"94% Polyester, 6% Spandex",get from website ,get from website ,Step 3,400556
halter tank,400544,https://www.nordstrom.com/s/clean-lines-crop-tank/7183685?utm_source=N_transactional&utm_medium=email&utm_campaign=V5T200ordcfm&utm_channel=email_tran_ret_p&utm_term=759715&utm_content=20241105_proddescr1,Free People,$30,"White, purple",Layering or solo; perfect with loose pants or shorts,Halter Crop Tank,Super shoulders alert! Show off the lats and shoulders with this halter tank. Also gives a peek of a toned core. Lined bra. ,"This is for the athlete who really needs to feel like they are still at it even when they are not; this athletic fit, stretchy tank is classy but really shows off the toned work you have put in. Even with its athlethic cut, your brain will know it is not workout fabric and the recovery and rest can begin while you still look amazing. Relax it down with a pair of Not for Jogging pants. ",400536,"Tight; halter, high neck, cropped","Shoulders (big time), core, arms. ",,high,,"92% nylon, 8% spandex",get from website ,get from website ,,
High Crop halter tank,400550,https://www.quince.com/women/ultra-form-high-neck-cropped-tank?color=sea-spray-green&size=l&g_network=g&g_productchannel=online&g_adid=713314652792&g_acctid=978-058-8398&g_keyword=&g_adtype=pla&g_keywordid=pla-2358552139841&g_ifcreative=&g_adgroupid=173031869251&g_productid=46711628005546&g_merchantid=128669708&g_partition=2358552139841&g_campaignid=21694867382&g_ifproduct=product&g_campaign=&utm_source=google&utm_medium=paid_search&utm_campaign=&utm_term=46711628005546&gad_source=1&gad_campaignid=21694867382&gbraid=0AAAAAC4ZeNb3KZ5-lzjTWAyDx-qyfewKn&gclid=CjwKCAiA_orJBhBNEiwABkdmjJJPyCDDsMa9IIsDiEDYQBrTHB7F6yypbhXqpvLzpI66K5hQdUER_RoCCiEQAvD_BwE,Quince,$38,"Sea Spray Green, Deep Navy, Black","With high waisted leggings for an athletic style, or sweatpants for a more relaxed look",High Crop halter tank,Calling super shoulders and toned abs! Show off the lats and shoulders with this halter tank. Also gives a peek of a toned core. Lined bra. ,"This is for the athlete who really needs to feel like they are still at it even when they are not; this athletic fit, super soft tank is classy but really shows off the toned work you have put in. Even with its athlethic cut, your brain will know it is not workout fabric and the recovery and rest can begin while you still look amazing. Relax it down with a pair of Not for Jogging pants. High crop, so it also goes well with highwaisted sweatpants","400536, 400548","Tight; halter, high neck, high cropped",,,,,,,,,"400556, 400533"
fitted tee,400545,https://beyondyoga.com/products/featherweight-on-the-down-low-tee-blue-gem-heather-lwsd7670,Beyond Yoga,$66,"white, blue gem","This fitted tee is perfect with Not for Jogging pants, leggings and shorts. ",Fitted Tee,"For those who have smaller shoulders or want a slightly more fitted tee but one that doesn't look like a box, this is your go-to. Super soft fabric makes it clear this is not for performance, it is for relaxation. ","Get your recovery started with a super soft T-shirt that is fitted but not snug. Easy to move in but also easy to relax in, the fit and fabric of the tea. Let your brain know it's time to rest.",,,,,,,,get from website ,get from website ,,400537
cropped tee,400534,https://vuoriclothing.com/products/womens-energy-tee-white?queryId=2c5d4f9dc9ab9a2acbc960da72f7df22,Vuori,$58,"white, Sea Spray Heather",Wear it with leggings or shorts,Boxy Cropped Tee,"Sometimes it is hard to find a T-shirt that looks cute, but allows room for the big shoulders and lots of swimmers and upper body endurance athletes. This cute copped tee shows off the abs without a tight fit up top; loose shoulders and armpits for the swimmers. ","Loose and airy with soft fabric is perfect after you've worked hard in tight, performance upperware. ",400533,"Loose in shoulders, cropped for average height",Core,,medium,,"96% Polyester, 4% Elastane",get from website ,get from website ,Step 2. Step 3. Step 4. ,
corset fleece,400535,https://www.aloyoga.com/products/w4556r-polar-fleece-cropped-wintry-mix-jacket-ivory,Alo,$188,"Navy, black","With leggings, shorts",Cropped Corset Fleece,"For the babes out there who want to show off a little but not be hemmed in by tighness. Perfect to wear to the outdoor pool winter workouts, around town. Boxy shoulders combined with tight abs gives you the perfect balance of athletic form witout the pretence and overall tightness. ","You'll want to wear this after you've rested a bit and are ready to hit the world; the cozy snug on the abs combined with the room up top let's you still feel and move like an athlete without the tight, performance fabrics you need on the long haul workouts. Pairs really well with a loose garmet underneath and still has room for the big shoulders","400533, 400532","Cropped corset, big in shoulders",Core,,,,100% Polyester,get from website ,get from website ,Step 3,
